"marker" "inflation"
"CD28_seq.20521.83" 48.9231852258756
"CD30.Ligand_seq.3421.54" 29.152664428062
"CD30_seq.2605.49" 52.5718974878914
"CD46_seq.17682.1" 5.69988479867229
"CD48_seq.3292.75" 41.985463440934
"CD5L_seq.3293.2" 62.9308040837135
"CD83_seq.5065.8" 22.3471626634324
"CD8A_seq.15462.28" 33.8645657143928
"CD8A_seq.5992.50" 59.7593798844082
"CD97_seq.18881.7" 8.81974234295994
"CDCP1_seq.16818.200" 64.1105233352976
"CDON_seq.4541.49" 16.8244822113077
"CECR1_seq.6077.63" 59.0429040841619
"CG024_seq.21889.2" 42.0939738520504
"CHAD_seq.13460.4" 32.2831194713096
"Chitotriosidase.1_seq.10460.1" 77.2477726027621
"Chitotriosidase.1_seq.3600.2" 86.0942462919671
"CHL1_seq.3601.54" 17.5589277246475
"CLM6_seq.5066.134" 21.7746481179837
"CLUL1_seq.21492.19" 42.5418692693882
"CM35H_seq.5630.48" 35.3155244097188
"CN37_seq.6609.22" 63.3956543896169
"CNDP1_seq.7870.8" 13.9756187004936
"CNTN3_seq.20586.18" 5.45583934539763
"CNTP2_seq.6965.19" 19.7309932793144
"CO1A1.C.term.propeptide_seq.11140.56" 42.4739335528468
"Coagulation.Factor.XI_seq.2190.55" 54.9544819725379
"coagulation.factor.XIII.B_seq.5658.64" 58.8329445810334
"COFA1_seq.8974.172" 45.789808462343
"Collagen.alpha.3.VI..BPTI.Kunitz.inhibitor_seq.11196.31" 17.4121071636578
"Collagen.Type.III_seq.18880.81" 51.0268161010623
"COMP_seq.8043.153" 51.2018567906328
"complement.factor.H.related.5_seq.16055.3" 63.5870348046505
"complement.factor.H.related.5_seq.7885.17" 57.0049514732938
"Complement.receptor.type.1_seq.19556.12" 56.7623365814163
"Complement.receptor.type.2_seq.15570.99" 52.9909978713638
"Contactin.4_seq.3298.52" 5.5679524394896
"Contactin.5_seq.3299.29" 10.8783244630485
"Corticotropin.lipotropin_seq.9204.33" 11.3977723751729
"COSA1_seq.10702.1" 22.5395002315684
"CPLX2_seq.15321.8" 25.0114239819151
"CPXM1_seq.6255.74" 64.9745587702237
"CRBB1_seq.17751.68" 30.7710319191367
"CRDL2_seq.6086.15" 7.89286303071181
"CREG1_seq.9357.4" 50.1760925675087
"CRF2.12_seq.7192.37" 30.5456963080309
"CRIM1.ECD_seq.6502.50" 30.3853082258226
"CRIS2_seq.9282.12" 65.135565357155
"CRKL_seq.9877.28" 33.4062123153051
"CS010_seq.9248.36" 8.40510864955199
"CSF.1_seq.3738.54" 22.8736332488249
"CSF2R_seq.10438.19" 52.9333270294295
"CSTN2_seq.18882.7" 21.6593631382864
"CTAP.III_seq.4544.4" 57.345195091788
"CYBP_seq.12432.23" 10.405031086014
"Cystatin.B_seq.19768.13" 43.2290452841315
"Cystatin.M_seq.14711.27" 25.110696389245
"Cystatin.M_seq.3303.23" 23.6562801765886
"CYTF_seq.14038.130" 56.7910925155288
"CYTN_seq.5459.33" 60.1061182637406
"DAF_seq.5069.9" 12.1899087493351
"DC.SIGN_seq.22576.2" 39.022840231723
"DC.SIGN_seq.3029.52" 19.8426914841498
"DCC_seq.21685.29" 11.6594150872513
"DDAH1_seq.19392.6" 35.0630768353185
"DERM_seq.4979.34" 63.4941745103741
"Desmoglein.2_seq.20517.1" 29.2908242530323
"Desmoglein.2_seq.9484.75" 34.326148796963
"DHPR_seq.11257.1" 51.7135125277838
"discoidin.domain.receptor.1_seq.11836.144" 42.0841177286135
"Dkk.4_seq.22959.32" 11.6005637167855
"DLK1.ECD_seq.6496.60" 34.4606571827907
"DLK1_seq.6373.54" 35.8641817197184
"DLL1_seq.5349.69" 5.83743777198905
"DLL1_seq.8264.43" 6.1160176590592
"DNJB2_seq.11438.6" 29.7658918067242
"DPP2_seq.8346.9" 59.5919375835853
"DSC2_seq.13126.52" 11.8250781067041
"DSCAM_seq.9175.48" 15.7435435337682
"Dtk_seq.13668.44" 6.94367662519462
"Dtk_seq.2611.72" 5.82015531195821
"Dynamin_seq.24435.1" 11.5349166876317
"ECM1_seq.3366.51" 7.13230957793648
"ECP_seq.15576.158" 58.0453080744274
"ECP_seq.5741.55" 57.6525059231324
"EFHD1_seq.19616.100" 34.4745034227372
"EFNB2.ECD_seq.14131.37" 4.73049934951333
"EGFLA_seq.12338.27" 56.5588182472717
"ELA2A_seq.7140.1" 59.7901141072223
"Elafin_seq.4982.54" 58.5973435983701
"EMR2_seq.4546.27" 15.3475647540658
"Endocan_seq.3805.16" 54.8206390493506
"Endoglin_seq.4908.6" 12.1050288141208
"Endostatin_seq.2201.17" 12.1249388201618
"ENPP5_seq.6556.5" 29.6975435619741
"ENPP6_seq.15579.26" 41.4920029635481
"ENPP7_seq.4435.66" 60.6795605122873
"ENTP2_seq.18887.7" 61.3135048950562
"ENTP6_seq.8932.1" 14.6891339470477
"EphA1_seq.3431.54" 52.0151823060459
"EPHA4_seq.7190.50" 4.20996889994257
"EPHAA_seq.5076.53" 7.94492701829038
"EphB4_seq.15530.33" 9.32509166878596
"EphB6_seq.5078.82" 7.64952561051145
"EphB6_seq.9261.14" 6.20734377820946
"Ephrin.A1_seq.20091.138" 37.0078256586269
"Ephrin.A4_seq.14050.61" 36.9798592720938
"Ephrin.A4_seq.2614.28" 19.7213484778191
"Epithelial.cell.kinase_seq.4834.61" 15.61778963273
"ERBB1_seq.2677.1" 9.10473637678976
"ERBB3_seq.2617.56" 17.4389700112746
"ES8L2_seq.24891.54" 48.9800114931073
"ESAM_seq.20536.11" 4.41536317227491
"ESAM_seq.2981.9" 4.33096397656754
"ESAM_seq.7841.84" 4.66724177375491
"Ezrin_seq.9753.17" 37.9963266590467
"F171B.ECD_seq.8786.6" 16.7462394825532
"F171B.ECD_seq.8851.42" 21.3424058374104
"F19A5_seq.5609.92" 4.63804995197787
"FABP_seq.4696.2" 43.5971868177561
"FABP_seq.5437.63" 49.7862812933335
"FABPA_seq.15386.7" 55.5895287838738
"FABPA_seq.9851.9" 58.8866334911807
"Factor.B_seq.4129.72" 51.3552233451913
"Factor.D_seq.13678.169" 37.4254668951464
"Factor.D_seq.2946.52" 48.1834290246202
"Factor.I_seq.2567.5" 57.0644340577114
"FAM3B_seq.5618.50" 53.8163338899461
"FAM3B_seq.9177.6" 54.3784113876991
"Fas..soluble_seq.9459.7" 25.4737646848797
"Fas.ligand..soluble_seq.3052.8" 30.8923218287888
"FCG3B_seq.3311.27" 57.5455683283538
"FCN2_seq.13717.15" 61.8168025733952
"FETUB_seq.3367.8" 54.333707790769
"FGF.19_seq.13724.27" 37.3844573905231
"FGF.19_seq.2762.30" 32.5978914917075
"FGFP3_seq.11219.95" 47.8027610270271
"FGL1_seq.5581.28" 59.9740355887
"FHR2_seq.15584.9" 57.3623179708826
"Fibronectin_seq.4131.72" 12.7967029173601
"FIS1_seq.17746.77" 11.7730216569552
"FLRT2_seq.13122.19" 10.4864045848899
"Flt3.ligand_seq.14093.10" 53.6466748319744
"FN1.2_seq.20064.24" 9.83302071801817
"FN1.3_seq.3434.34" 15.0596578779132
"FN1.4_seq.3435.53" 12.2523748872465
"FOLR1_seq.17455.42" 59.5069670028344
