"marker" "inflation"
"Collagen.Type.III_seq.18880.81" Inf
"COMP_seq.8043.153" Inf
"complement.factor.H.related.5_seq.16055.3" Inf
"complement.factor.H.related.5_seq.7885.17" Inf
"Complement.receptor.type.1_seq.19556.12" Inf
"Complement.receptor.type.2_seq.15570.99" Inf
"Contactin.4_seq.3298.52" 20.2777989101194
"Contactin.5_seq.3299.29" 20.2863560102285
"Corticotropin.lipotropin_seq.9204.33" 83.2589574624047
"COSA1_seq.10702.1" 115.620063291525
"CPLX2_seq.15321.8" 9.07239431499836
"CPXM1_seq.6255.74" Inf
"CRBB1_seq.17751.68" 91.5040352387997
"CRDL2_seq.6086.15" 40.2115822519645
"CREG1_seq.9357.4" Inf
"CRF2.12_seq.7192.37" 116.742051282514
"CRIM1.ECD_seq.6502.50" 22.1347508843332
"CRIS2_seq.9282.12" Inf
"CRKL_seq.9877.28" 31.3515296513548
"CS010_seq.9248.36" 41.8850885679849
"CSF.1_seq.3738.54" 113.677828493006
"CSF2R_seq.10438.19" Inf
"CSTN2_seq.18882.7" 106.548657338609
"CTAP.III_seq.4544.4" Inf
"CYBP_seq.12432.23" 14.1511471795479
"Cystatin.B_seq.19768.13" 138.393065741221
"Cystatin.M_seq.14711.27" 151.149146819566
"Cystatin.M_seq.3303.23" 145.764600083121
"CYTF_seq.14038.130" Inf
"CYTN_seq.5459.33" Inf
"DAF_seq.5069.9" 48.970534922287
"DC.SIGN_seq.22576.2" 129.859893244924
"DC.SIGN_seq.3029.52" 83.0762464033828
"DCC_seq.21685.29" 56.82905589619
"DDAH1_seq.19392.6" 20.1070374657699
"DERM_seq.4979.34" Inf
"Desmoglein.2_seq.20517.1" 96.7765462718686
"Desmoglein.2_seq.9484.75" 120.198150621967
"DHPR_seq.11257.1" Inf
"discoidin.domain.receptor.1_seq.11836.144" Inf
"Dkk.4_seq.22959.32" 60.9704800536329
"DLK1.ECD_seq.6496.60" Inf
"DLK1_seq.6373.54" Inf
"DLL1_seq.5349.69" 22.9897294545455
"DLL1_seq.8264.43" 22.6217700827211
"DNJB2_seq.11438.6" 22.7178424013923
